date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:18:40	313/313	---MCZ	200	added ('OK')	text/plain	etag:W/%22c096717a4468d17658c702125130ac77%22	https://ip-tv.ro/robots.txt		(from )
22:18:40	40770/-1	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Jan%202026%2020:18:41%20GMT	https://ip-tv.ro/	C:/My%20Web%20Sites/test/ip-tv.ro/index.html	(from )
22:18:40	9246/9246	---MCZ	200	added ('OK')	text/css	etag:W/%22667ebb8d0dcb8cfa012685b282bb615b%22	https://ip-tv.ro/_astro/index.BG9bOqAP.css	C:/My%20Web%20Sites/test/ip-tv.ro/_astro/index.BG9bOqAP.css	(from https://ip-tv.ro/)
22:18:40	1203048/1203048	---M--	200	added ('OK')	image/png	etag:%2234c70a392d53e1e86efce87fe95231ce%22	https://ip-tv.ro/assets/favicon.png	C:/My%20Web%20Sites/test/ip-tv.ro/assets/favicon.png	(from https://ip-tv.ro/)
22:18:41	35610/35610	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jan%202026%2020:18:42%20GMT	https://ip-tv.ro/canaletv	C:/My%20Web%20Sites/test/ip-tv.ro/canaletv.html	(from https://ip-tv.ro/)
22:18:41	50875/50875	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jan%202026%2020:18:42%20GMT	https://ip-tv.ro/pachete	C:/My%20Web%20Sites/test/ip-tv.ro/pachete.html	(from https://ip-tv.ro/)
22:18:41	42736/42736	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jan%202026%2020:18:43%20GMT	https://ip-tv.ro/dispozitive	C:/My%20Web%20Sites/test/ip-tv.ro/dispozitive.html	(from https://ip-tv.ro/)
22:18:41	23489/23489	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jan%202026%2020:18:43%20GMT	https://ip-tv.ro/cumsainstallez	C:/My%20Web%20Sites/test/ip-tv.ro/cumsainstallez.html	(from https://ip-tv.ro/)
22:18:42	30688/30688	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jan%202026%2020:18:43%20GMT	https://ip-tv.ro/faq	C:/My%20Web%20Sites/test/ip-tv.ro/faq.html	(from https://ip-tv.ro/)
22:18:42	38356/38356	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jan%202026%2020:18:43%20GMT	https://ip-tv.ro/contact	C:/My%20Web%20Sites/test/ip-tv.ro/contact.html	(from https://ip-tv.ro/)
22:18:42	34227/34227	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jan%202026%2020:18:43%20GMT	https://ip-tv.ro/topzecedinromania	C:/My%20Web%20Sites/test/ip-tv.ro/topzecedinromania.html	(from https://ip-tv.ro/)
22:18:42	19849/19849	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jan%202026%2020:18:44%20GMT	https://ip-tv.ro/iptv-romania-germania	C:/My%20Web%20Sites/test/ip-tv.ro/iptv-romania-germania.html	(from https://ip-tv.ro/)
22:18:42	17950/17950	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jan%202026%2020:18:44%20GMT	https://ip-tv.ro/iptv-romania-spania	C:/My%20Web%20Sites/test/ip-tv.ro/iptv-romania-spania.html	(from https://ip-tv.ro/)
22:18:43	19766/19766	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jan%202026%2020:18:44%20GMT	https://ip-tv.ro/iptv-romania-uk	C:/My%20Web%20Sites/test/ip-tv.ro/iptv-romania-uk.html	(from https://ip-tv.ro/)
22:18:43	22914/22914	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jan%202026%2020:18:44%20GMT	https://ip-tv.ro/iptv-romania-franta	C:/My%20Web%20Sites/test/ip-tv.ro/iptv-romania-franta.html	(from https://ip-tv.ro/)
22:18:43	17506/17506	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jan%202026%2020:18:45%20GMT	https://ip-tv.ro/termeni-conditii	C:/My%20Web%20Sites/test/ip-tv.ro/termeni-conditii.html	(from https://ip-tv.ro/)
22:18:43	14805/14805	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jan%202026%2020:18:45%20GMT	https://ip-tv.ro/politica-confidentialitate	C:/My%20Web%20Sites/test/ip-tv.ro/politica-confidentialitate.html	(from https://ip-tv.ro/)
22:18:43	6375/6375	---MCZ	200	added ('OK')	text/javascript	etag:W/%22b3f100865c654c200e606767c2343438%22	https://ip-tv.ro/assets/js/client-signals.js	C:/My%20Web%20Sites/test/ip-tv.ro/assets/js/client-signals.js	(from https://ip-tv.ro/)
22:18:44	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2009%20Jan%202026%2020:18:45%20GMT	https://challenges.cloudflare.com/turnstile/v0/api.js?onload=onTurnstileLoad	C:/My%20Web%20Sites/test/challenges.cloudflare.com/turnstile/v0/api.100101.delayed	(from https://ip-tv.ro/)
22:18:44	50465/50465	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2007%20Jan%202026%2017:21:54%20GMT	https://challenges.cloudflare.com/turnstile/v0/g/fc21b7e0d793/api.js	C:/My%20Web%20Sites/test/challenges.cloudflare.com/turnstile/v0/g/fc21b7e0d793/api.js	(from https://ip-tv.ro/)
22:18:45	9038/9038	---MCZ	200	added ('OK')	text/css	etag:W/%225aecc514b319401c9f8ae8b99d80f406%22	https://ip-tv.ro/_astro/canaletv.9sP0PPOt.css	C:/My%20Web%20Sites/test/ip-tv.ro/_astro/canaletv.9sP0PPOt.css	(from https://ip-tv.ro/canaletv)
22:18:45	13418/13418	---MCZ	200	added ('OK')	text/javascript	etag:W/%22207eb2e1ecf98e57292376b703cdfe50%22	https://ip-tv.ro/_astro/canaletv.astro_astro_type_script_index_0_lang.DxFQbR2P.js	C:/My%20Web%20Sites/test/ip-tv.ro/_astro/canaletv.astro_astro_type_script_index_0_lang.DxFQbR2P.js	(from https://ip-tv.ro/canaletv)
22:18:45	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%226421d693-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	C:/My%20Web%20Sites/test/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://ip-tv.ro/pachete)
22:18:45	10565/10565	---MCZ	200	added ('OK')	text/css	etag:W/%22e2be569d92b62cbe8b94ab1fe36775ec%22	https://ip-tv.ro/_astro/pachete.Dc9DRqRZ.css	C:/My%20Web%20Sites/test/ip-tv.ro/_astro/pachete.Dc9DRqRZ.css	(from https://ip-tv.ro/pachete)
22:18:46	7577/7577	---MCZ	200	added ('OK')	text/css	etag:W/%22e321f5c31c692475a0f523d0d5b26c6a%22	https://ip-tv.ro/_astro/dispozitive.FUHB-2lF.css	C:/My%20Web%20Sites/test/ip-tv.ro/_astro/dispozitive.FUHB-2lF.css	(from https://ip-tv.ro/dispozitive)
22:18:46	7516/7516	---MCZ	200	added ('OK')	text/css	etag:W/%22f1d0489f0de2c7623aee236cce3b85d3%22	https://ip-tv.ro/_astro/cumsainstallez.BjXF8CsA.css	C:/My%20Web%20Sites/test/ip-tv.ro/_astro/cumsainstallez.BjXF8CsA.css	(from https://ip-tv.ro/cumsainstallez)
22:18:46	7239/7239	---MCZ	200	added ('OK')	text/css	etag:W/%227fc18a3facb8e16bcfb7faae4fda3593%22	https://ip-tv.ro/_astro/faq.D4OpihhY.css	C:/My%20Web%20Sites/test/ip-tv.ro/_astro/faq.D4OpihhY.css	(from https://ip-tv.ro/faq)
22:18:46	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2009%20Jan%202026%2020:18:48%20GMT	https://challenges.cloudflare.com/turnstile/v0/api.js	C:/My%20Web%20Sites/test/challenges.cloudflare.com/turnstile/v0/api.js	(from https://ip-tv.ro/contact)
22:18:47	8760/8760	---MCZ	200	added ('OK')	text/css	etag:W/%22b4b9c559a3d99aee3a991412867427a8%22	https://ip-tv.ro/_astro/contact.wniessxF.css	C:/My%20Web%20Sites/test/ip-tv.ro/_astro/contact.wniessxF.css	(from https://ip-tv.ro/contact)
22:18:47	9627/9627	---MCZ	200	added ('OK')	text/css	etag:W/%228760401d80041d60599773651f77c1ee%22	https://ip-tv.ro/_astro/topzecedinromania.CWdExjFn.css	C:/My%20Web%20Sites/test/ip-tv.ro/_astro/topzecedinromania.CWdExjFn.css	(from https://ip-tv.ro/topzecedinromania)
22:18:48	4236/4236	---MCZ	200	added ('OK')	text/css	etag:W/%22188d4227f958b1319ce6a53fad5ee6c8%22	https://ip-tv.ro/_astro/iptv-romania-germania.D11hXwZw.css	C:/My%20Web%20Sites/test/ip-tv.ro/_astro/iptv-romania-germania.D11hXwZw.css	(from https://ip-tv.ro/iptv-romania-germania)
22:18:48	21760/21760	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jan%202026%2020:18:49%20GMT	https://ip-tv.ro/trial-gratuit	C:/My%20Web%20Sites/test/ip-tv.ro/trial-gratuit.html	(from https://ip-tv.ro/iptv-romania-germania)
22:18:48	4235/4235	---MCZ	200	added ('OK')	text/css	etag:W/%220bbf339b3d63c9063ef79ec5820245e8%22	https://ip-tv.ro/_astro/iptv-romania-spania.CPw8uGR6.css	C:/My%20Web%20Sites/test/ip-tv.ro/_astro/iptv-romania-spania.CPw8uGR6.css	(from https://ip-tv.ro/iptv-romania-spania)
22:18:49	4229/4229	---MCZ	200	added ('OK')	text/css	etag:W/%223eecec99cb54cccbfd775860d4daea68%22	https://ip-tv.ro/_astro/iptv-romania-uk.CnmqQqzd.css	C:/My%20Web%20Sites/test/ip-tv.ro/_astro/iptv-romania-uk.CnmqQqzd.css	(from https://ip-tv.ro/iptv-romania-uk)
22:18:49	6517/6517	---MCZ	200	added ('OK')	text/css	etag:W/%22f0be45d6af9953ab93a2bc394ec10f4c%22	https://ip-tv.ro/_astro/iptv-romania-franta.qPEcImBG.css	C:/My%20Web%20Sites/test/ip-tv.ro/_astro/iptv-romania-franta.qPEcImBG.css	(from https://ip-tv.ro/iptv-romania-franta)
22:18:50	4795/4795	---MCZ	200	added ('OK')	text/css	etag:W/%22c7949d0d470a2dd424d31045f9f85485%22	https://ip-tv.ro/_astro/politica-confidentialitate.BMYmOO5V.css	C:/My%20Web%20Sites/test/ip-tv.ro/_astro/politica-confidentialitate.BMYmOO5V.css	(from https://ip-tv.ro/politica-confidentialitate)
22:18:50	7520/7520	---MCZ	200	added ('OK')	text/css	etag:W/%227fe46964fd2d44ca47312fd2043f609d%22	https://ip-tv.ro/_astro/trial-gratuit.5qZipLPd.css	C:/My%20Web%20Sites/test/ip-tv.ro/_astro/trial-gratuit.5qZipLPd.css	(from https://ip-tv.ro/trial-gratuit)
